intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
# INSTRUCTIONS:,,,,,,
# intermediary_name,"Required. One of: Alma, Grow Therapy, Headway",,,,,
# payer_name,Optional. Leave blank for platform-wide rate,,,,,
# state,Optional. Default FL. Leave blank for national,,,,,
# allowed_amount,Required. Provider take-home $ (e.g. 145.00),,,,,
# effective_date,Optional. YYYY-MM-DD,,,,,
# notes,Optional free text,,,,,
,,,,,,
Headway,BCBS - Massachusetts (virtual network),90836,CO,,4/6/26,Add-on psychotherapy 45 min with E/M
Headway,BCBS - Massachusetts (virtual network),90838,CO,,4/6/26,Add-on psychotherapy 60 min with E/M
Headway,BCBS - Massachusetts (virtual network),99204,CO,,4/6/26,New patient E/M mod-high complexity
Headway,BCBS - Massachusetts (virtual network),99205,CO,,4/6/26,New patient E/M high complexity
Headway,BCBS - Massachusetts (virtual network),90785,CO,,4/6/26,Interactive Complexity
,,,,,,
Headway,Carelon,99214,CO,,4/6/26,Est patient E/M moderate complexity
Headway,Carelon,99215,CO,,4/6/26,Est patient E/M high complexity
Headway,Carelon,90833,CO,,4/6/26,Add-on psychotherapy 30 min with E/M
Headway,Carelon,90836,CO,,4/6/26,Add-on psychotherapy 45 min with E/M
Headway,Carelon,90838,CO,,4/6/26,Add-on psychotherapy 60 min with E/M
Headway,Carelon,99204,CO,,4/6/26,New patient E/M mod-high complexity
Headway,Carelon,99205,CO,,4/6/26,New patient E/M high complexity
Headway,Carelon,90785,CO,,4/6/26,Interactive Complexity
,,,,,,
Headway,Cigna,99214,CO,,4/6/26,Est patient E/M moderate complexity
Headway,Cigna,99215,CO,,4/6/26,Est patient E/M high complexity
Headway,Cigna,90833,CO,,4/6/26,Add-on psychotherapy 30 min with E/M
Headway,Cigna,90836,CO,,4/6/26,Add-on psychotherapy 45 min with E/M
Headway,Cigna,90838,CO,,4/6/26,Add-on psychotherapy 60 min with E/M
Headway,Cigna,99204,CO,,4/6/26,New patient E/M mod-high complexity
Headway,Cigna,99205,CO,,4/6/26,New patient E/M high complexity
Headway,Cigna,90785,CO,,4/6/26,Interactive Complexity
,,,,,,
